title,description,type,sellPrice,tags,energy,health
Ocean Stone,An old legend claims these stones are the mosaics of ancient mermaids.,mineral,220,"Frozen Geode, Omni Geode",,
Ghost Crystal,There is an aura of coldness around this crystal.,mineral,200,"Frozen Geode, Omni Geode",,
Jasper,"When polished, this stone becomes attactively luminous. Prized by ancient peoples for thousands of years.",mineral,150,"Magma Geode, Omni Geode",,
Celestine,Some early life forms had bones made from this.,mineral,125,Geode Omni Geode,,
Marble,A very popular material for sculptures and construction.,mineral,110,"Marble Brazier, Frozen Geode, Omni Geode",,
Sandstone,A common type of stone with red and brown striations.,mineral,60,"Geode, Omni Geode",,
Granite,A speckled Mineral that is commonly used in construction.,mineral,75,"Geode, Omni Geode",,
Basalt,Forms near searing hot magma.,mineral,175,"Magma Geode, Omni Geode",,
Limestone,A very common type of stone. It's not worth very much.,mineral,15,"Geode, Omni Geode",,
Soapstone,"Because of its relatively soft consistency, this stone is very popular for carving.",mineral,120,"Frozen Geode, Omni Geode",,
Hematite,An iron-based Mineral with interesting magnetic properties.,mineral,150,"Frozen Geode, Omni Geode",,
Mudstone,A fine-grained rock made from ancient clay or mud.,mineral,25,"Geode, Omni Geode",,
Obsidian,A volcanic glass that forms when lava cools rapidly.,mineral,200,"Sebastian, Magma Geode, Omni Geode",,
Slate,"It's extremely resistant to water, making it a good roofing material.",mineral,85,"Geode, Omni Geode",,
Fairy Stone,An old miner's song suggests these are made from the bones of ancient fairies.,mineral,250,"Frozen Geode, Omni Geode",,
Star Shards,No one knows how these form. Some scientists claim that the microscopic structure displays unnatural regularity.,mineral,500,"Magma Geode, Omni Geode",,
